organization,location,zone,channel_name,kinesis_url,is_active
americold,modesto,F_dock,ch11,,TRUE
americold,modesto,F_dock,ch3,,TRUE
americold,modesto,G_dock,ch3,,TRUE
americold,modesto,e_dock_north,ch04_1,,TRUE
americold,modesto,e_dock_north,ch12,,TRUE
americold,modesto,e_dock_north,ch22,,FALSE
americold,modesto,e_dock_north,ch22_1,,TRUE
americold,modesto,e_dock_north,ch4,,FALSE
formfitness,paloalto,gopro,March2020,,TRUE
meijer,middlebury,aisles_23_26,cha,,TRUE
meijer,middlebury,east_dock,cha,,TRUE
meijer,middlebury,travel_aisle_bakery,cha,,TRUE
meijer,middlebury,travel_aisle_deli,cha,,TRUE
meijer,middlebury,west_dock_deli,cha,,TRUE
rite_hite,hanson,70_aisle,c9c29ee5-e332-2ca8-1625-286f66caa61c,,TRUE
rite_hite,hanson,butter,3912e9a2-a580-d11f-d75c-a280cda77813,,TRUE
rite_hite,hanson,butter,d9bf1284-26b4-5d24-2d36-6097e3bceb2b,,TRUE
rite_hite,hanson,dairy_door_31,e960bdaa-a9f5-7ea9-6c09-837c2574a88d,,TRUE
rite_hite,hanson,door_18,f2be2502-aa69-9c60-644d-6d1b1ab56a2c,,TRUE
rite_hite,hanson,door_22,ee117015-fcfe-c17b-d775-d33a3ef682ca,,TRUE
rite_hite,hanson,door_23_24,b49df396-e918-f1b8-dc70-ee4514b652a9,,TRUE
rite_hite,hanson,door_31,6e458901-82fb-dc57-ae61-c9c997ee6395,,TRUE
rite_hite,hanson,door_32,9e0d4eda-fdf1-482b-504e-ad49c64796d6,,TRUE
rite_hite,hanson,egg_aisle,13af56ad-17db-b29f-6195-ded9e034b41d,,TRUE
rite_hite,hanson,garbage_room,b6d982c1-5d26-185a-0080-481384235c0a,,TRUE
rite_hite,hanson,paper,30c7508c-f7d9-beaf-a6b1-64c0f76431e0,,TRUE
rite_hite,hanson,paper,5eebf907-f5eb-c827-b12d-dd7e76f5e7d4,,TRUE
rite_hite,hanson,paper,7355a7ef-f480-a138-62e1-1e5189c2ba9f,,TRUE
rite_hite,hanson,paper,7bbd01e4-658b-a56a-cb9f-6342c2c09b5d,,TRUE
rite_hite,hanson,unknown,08ff459e-9779-dc5d-d3a9-2c0338ae0082,,TRUE
rite_hite,hanson,unknown,09e9e989-46a4-6826-736a-20cc45d6f463,,TRUE
rite_hite,hanson,unknown,136b53b7-894e-3c8c-753c-57cac7e9cd29,,TRUE
rite_hite,hanson,unknown,1aadbce7-4fd9-5de2-3efc-0e3da27b2c24,,TRUE
rite_hite,hanson,unknown,3d20371a-9510-d6aa-f375-4898b647d39d,,TRUE
rite_hite,hanson,unknown,3f61da13-2941-7a77-2c7c-c40d77049964,,TRUE
rite_hite,hanson,unknown,522498e4-4fed-060e-d1ef-b74de55f9621,,TRUE
rite_hite,hanson,unknown,6ef568df-f4fb-0199-d775-cab1d1d14a4b,,TRUE
rite_hite,hanson,unknown,75a15dda-18f2-e076-c49a-8fa6adeefdce,,TRUE
rite_hite,hanson,unknown,7cfa1b05-8343-f0bb-c29e-07d60d284168,,TRUE
rite_hite,hanson,unknown,7d144029-859c-4a74-a582-43985c44af04,,TRUE
rite_hite,hanson,unknown,8687e904-a34e-79b5-afeb-572c0c86a628,,TRUE
rite_hite,hanson,unknown,8e0839e6-bb04-25d6-8f80-8dff827a9ffa,,TRUE
rite_hite,hanson,unknown,9616b09f-c5fd-1687-45a5-c7db89a03971,,TRUE
rite_hite,hanson,unknown,a5f2184d-620d-3f91-f590-949e0cddd63d,,TRUE
rite_hite,hanson,unknown,aadb2c08-e26c-929c-522c-7a9aaef5645f,,TRUE
rite_hite,hanson,unknown,af4fbf00-ddc1-ceef-6ffe-f3404b55920c,,TRUE
rite_hite,hanson,unknown,b0f85d4b-057b-8faf-6096-c69eacb40b09,,TRUE
rite_hite,hanson,unknown,b8a2558c-4ce8-aa1b-d768-6c317be37852,,TRUE
rite_hite,hanson,unknown,c4e51e47-7108-d0e5-3054-109a7fb8621f,,TRUE
rite_hite,hanson,unknown,d4978fd3-eec4-5970-a108-07f6740241c4,,TRUE
rite_hite,hanson,unknown,d78b9852-d484-4427-aaff-4d853c3d01d7,,TRUE
rite_hite,hanson,unknown,fee35107-7cb1-e96f-6cbd-5e5534084cb9,,TRUE
simulated,real,ergo,ergo,,TRUE
simulated,real,unknown,unknown,,TRUE
simulated,virtual,ergo,ergo,,TRUE
simulated,virtual,unknown,unknown,,TRUE
uscold,denton,dock01,cha,,TRUE
uscold,denton,dock02,cha,,TRUE
uscold,denton,dock03,cha,,TRUE
uscold,denton,dock04,cha,,TRUE
uscold,denton,e_pick03,cha,,TRUE
uscold,denton,rail_dock02,cha,,TRUE
uscold,denton,truck_doors_22_32,cha,,TRUE
uscold,laredo,dock01,cha,,TRUE
uscold,laredo,dock03,cha,,TRUE
uscold,laredo,dock04,cha,,TRUE
uscold,laredo,dock05,cha,,TRUE
uscold,laredo,doors_10_13,cha,,TRUE
uscold,laredo,doors_14_20,cha,,TRUE
uscold,laredo,doors_19_27,cha,,TRUE
uscold,laredo,doors_26_34,cha,,TRUE
uscold,laredo,room_f1,cha,,TRUE